元文,変換文,"ラベル
記入欄"
朝ごはんはトーストにバターとべジマイトを薄くぬって食べました。,朝ごはんはトーストにバターとべジマイトを薄くぬって食べました。,無変換
そして10時くらいに、喫茶店でレーシャルとジョノサンとベルに会いました。,そして10時くらいに、喫茶店でレーシャルとジョノサンとベルに会いました。,無変換
24日から26日まではavconというアニメとテレビゲームの大会です。,24日から26日まではavconというアニメとテレビゲームの大会です。,無変換
材料はひよこ豆とパスタと卵とニンニクと小麦粉といろいろなスパイスです。,材料はひよこ豆とパスタと卵とニンニクと小麦粉といろいろなスパイスです。,無変換
そして、ニンジンとキュウリとほうれん草と（日本の）マヨネーズもあります。,そして、ニンジンとキュウリとほうれん草と（日本の）マヨネーズもあります。,無変換
お医者さんに会ったけど彼は「あなたは元気ですが、ティーンエイジャーだからいつも眠いのですね。」と言いました。,お医者さんにお会いしましたが彼は「あなたは元気ですが、ティーンエイジャーだからいつも眠いのですね。」とおっしゃいました。,変換:謙譲語/尊敬語
『庭に出る』と『庭を出る』と『庭から出る』はなにが違うのでしょうか？,『庭に出る』と『庭を出る』と『庭から出る』はなにが違うのでしょうか？,無変換
「生日快樂」(お誕生日おめでとう)という映画は彼女が書いたストーリーを使って､彼女と古天樂さんが主役をする映画です。,「生日快樂」(お誕生日おめでとう)という映画は彼女が書いたストーリーを使って､彼女と古天樂さんが主役をする映画です。,無変換
このストーリーは､実らない恋についてのちょっと悲しいストーリーです。,このストーリーは､実らない恋についての少し悲しいストーリーです。,どちらでも良い:other
悲しい映画だけど､映画の画面が綺麗で､それに､私はその主人公(小米さん---劉若英さんが演じた役です)の気持ちがよく分かると思ったから､この映画が好きです。,悲しい映画ですが､映画の画面が綺麗で､それに､私はその主人公(小米さん---劉若英さんが演じた役です)の気持ちがよく分かると思いましたので､この映画が好きです。,どちらでも良い:丁寧語/other
映画の中で､小米さんはあまり自信がない女の子なので､彼女には恋する勇気がありません。,映画の中で､小米さんはあまり自信がない女の子なので､彼女には恋する勇気がありません。,無変換
相手をどんなに愛しても､自分が相手にどんなに愛されても､恋人になったら､いつか別れると彼女はそう信じます。,相手をどんなに愛しても､自分が相手にどんなに愛されても､恋人になったら､いつか別れると彼女はそう信じます。,無変換
小南さん(古天樂さんの役です)と小米さん二人は大学時代から､ずっとお互いに愛しているけど､結末は二人は一緒になりませんでした。,小南さん(古天樂さんの役です)と小米さん二人は大学時代から､ずっとお互いに愛していますが､結末は二人は一緒になりませんでした。,どちらでも良い:丁寧語
小米さんは､失うことを恐れるため､むしろ始めることをしませんでした。,小米さんは､失うことを恐れるので､むしろ始めることをしませんでした。,どちらでも良い:other
自分を守るために､知らず知らずのうちに別のいいこと(大切な人とか)を失っているかもしれません。,自分を守るために､知らず知らずのうちに別のいいこと(大切な人とか)を失っているかもしれません。,無変換
皆さんは､自分を愛して(もっと自信を持って)､好きな人と恋する勇気を持ちますように。,皆さんは､自分を愛して(もっと自信を持って)､好きな人と恋する勇気を持ちますように。,無変換
「どのくらい再び愛することが出来ますか」(有多少愛可以重來)という歌は､,「どのくらい再び愛することが出来ますか」(有多少愛可以重來)という歌は､,無変換
映画の中で､小南さんがよく歌っている歌ですが､本当に小米さんの気持ちを歌い上げていました。,映画の中で､小南さんがよく歌っている歌ですが､本当に小米さんの気持ちを歌い上げていました。,無変換
私は高校三年生だ、もうすぐ大学入学試験があるから、毎日勉強しなければならない、大変です！,私は高校三年生です、もうすぐ大学入学試験があるから、毎日勉強しなければいけません、大変です！,どちらでも良い:丁寧語
私のうちは四人家族です、僕と母と兄と婆ちゃんです、ちょっと狭いアパートに住んでいます。,私のうちは四人家族です、僕と母と兄と祖母です、少し狭いアパートに住んでいます。,変換:謙譲語
好きな食べ物は日本の料理です、好きな飲み物はビールです、台湾のビールはとてもうまいですよ！,好きな食べ物は日本の料理です、好きな飲み物はビールです、台湾のビールはとてもおいしいですよ！,変換:美化語
外国人が日本に来て数年で花粉症になったという話もよく聞く。。。。,外国人が日本に来て数年で花粉症になったという話もよく聞きます。。。。,どちらでも良い:丁寧語
（）のところに①と②、どちらを入れるのが一番よいのでしょうか？,（）のところに①と②、どちらを入れるのが一番よいのでしょうか？,無変換
その先生もどうかしている、プレゼントもそんな際立つもの（一味違うもの）をほしがる。,その先生もどうかしていらっしゃる、プレゼントもそのような際立つもの（一味違うもの）をほしがられます。,変換:尊敬語
十月の時点で、万物は既に萎びている季節なので、どこに花があるだろう。,十月の時点で、万物は既に萎びている季節なので、どこに花があるのでしょう。,どちらでも良い:other
刘伯温は咲き遅れている紺の菊花を贈呈したが、施耐庵は熟考したうえで、牡丹の枝を手折って贈呈した。,刘伯温は咲き遅れている紺の菊花を贈呈しましたが、施耐庵は熟考したうえで、牡丹の枝を手折って贈呈しました。,どちらでも良い:丁寧語
牡丹は葉が落ちて黒く細い枝が枯れているように見えるが、どういう意味があるだろう？,牡丹は葉が落ちて黒く細い枝が枯れているように見えますが、どういう意味があるでしょう？,どちらでも良い:丁寧語
先生は刘伯温からもらった紺の菊花を手に持ってみたところ、花の色もいいし、咲き遅れというものの、やはり咲いたものなので、もしかしたら刘伯温が大器晩成となる（のし上がるのが遅い）という兆しかもしれない。,先生は刘伯温からもらった紺の菊花を手に持ってみたところ、花の色もいいし、咲き遅れというものの、やはり咲いたものなので、もしかしたら刘伯温が大器晩成となる（のし上がるのが遅い）という兆しかもしれません。,どちらでも良い:丁寧語
また手を伸ばして施耐庵からもらった牡丹の枝を手にとって見たら花がついてない、見間違って老眼を疑っているかのように目を揉んだあと、もう一度見ても花がついてない、鼻で嗅いでみたら信じがたくても枝であることを信じざるを得なかった「施耐庵よ、何で枝を花と見なしたの？」と不可解げに聞いた。,また手を伸ばして施耐庵からもらった牡丹の枝を手にとって見たら花がついてない、見間違って老眼を疑っているかのように目を揉んだあと、もう一度見ても花がついてない、鼻で嗅いでみたら信じがたくても枝であることを信じざるを得なかった「施耐庵よ、何で枝を花と見なしたの？」と不可解げに聞きました。,どちらでも良い:丁寧語
